,Quarter,Region,State,Purpose,Trips
270,2015-11-09,80556,691001,12366023.0836998,87179.0596000001
271,2015-11-10,7201,691001,14411457.5054,84357.6029
272,2015-11-11,114480,691001,22261228.7493999,546461.3922
273,2015-11-12,50863,691001,13232244.5729999,89102.9342
274,2015-11-13,168148,691001,11198545.1518,97415.0442
275,2015-11-14,108519,102008,9442530.98000003,66586.3031
276,2015-11-16,112790,691001,12446999.0495,98856.7766000001
277,2015-11-17,213121,691001,11151673.5071999,76934.7624
278,2015-11-18,217587,691001,13516807.0620999,149729.3675
279,2015-11-19,212506,691001,9879857.58799998,85483.4575
280,2015-11-20,123321,691001,12085631.3171999,79395.2901
281,2015-11-21,148690,101029,8926070.59000003,53725.3035
282,2015-11-23,172978,691001,12213734.1754,74318.1846
283,2015-11-24,177324,691001,16686281.4467998,164317.8968
284,2015-11-25,FS001590,691001,5906076.30069994,40410.8584
285,2015-11-26,111397,691001,20484696.3305,384610.2897
286,2015-11-27,50900,691001,10360799.1956,76353.8965
287,2015-11-28,202743,115016,8607604.78999998,86098.1005
288,2015-11-30,174675,691001,13655781.1091998,540529.212499999
289,2015-12-01,136888,691001,10188421.7315,86294.1312
290,2015-12-02,106713,691001,12149894.0309,127742.7237
291,2015-12-03,FS000715,691001,9244701.12820002,105057.8839
292,2015-12-04,112042,691001,10346486.327,91921.0854
293,2015-12-07,159542,603160,5016179.78999999,72812.4017
294,2015-12-08,FS000562,691001,13894081.8343999,371313.2524
295,2015-12-09,157708,691001,12190884.7822999,371721.6238
296,2015-12-10,156640,691007,14524064.1348,187519.1568
297,2015-12-11,124090,691001,15716595.7972,164208.1128
298,2015-12-12,126582,619217,11496792.68,87533.6822
299,2015-12-14,134099,691001,15627909.5827999,95620.1934
300,2015-12-15,193300,691001,20483006.758,279663.444
301,2015-12-16,FS000227,691001,12419940.7088,151354.2772
302,2015-12-17,151171,691001,12844790.8719,132347.8442
303,2015-12-18,167479,691001,15489403.7790001,93577.9006
304,2015-12-19,90593,502057,16380126.64,150158.4536
305,2015-12-21,112745,691001,14266961.0985999,129043.2761
306,2015-12-22,113506,691001,17300665.3694999,456860.1797
307,2015-12-23,30971,691001,14064949.7391999,159948.4675
