"Cg","Datetime","Customer","Sku","Channel","qty","Amt"
"010012","2020-05-20","612030","027018","200","12","897.2"
"010012","2020-05-20","619433","027018","200","1","53.15"
"010012","2020-05-21","115016","027018","200","216","12009.6"
"010012","2020-05-21","619433","027018","200","2","142.06"
"010012","2020-05-22","115016","027018","200","168","9340.8"
"010012","2020-05-22","612030","027018","200","12","762.61"
"010012","2020-05-25","115016","027018","200","48","2668.8"
"010012","2020-05-26","619433","027018","200","2","92.73"
"010012","2020-05-28","612030","027018","200","2","142.99"
"010012","2020-05-29","601001","027018","200","24","1200"
"010012","2020-05-29","619433","027018","200","3","148.99"
"010012","2020-06-01","115016","027018","200","96","5337.6"
"010012","2020-06-02","619433","027018","200","1","40.12"
"010012","2020-06-04","619433","027018","200","26","982.3699999999999"
"010012","2020-06-06","612030","027018","200","1","36.89"
"010012","2020-06-08","115016","027018","200","144","8006.4"
"010012","2020-06-09","115016","027018","200","24","1334.4"
"010012","2020-06-09","619433","027018","200","24","881.98"
"010012","2020-06-10","115016","027018","200","48","2668.8"
"010012","2020-06-11","612030","027018","200","1","79.44"
"010012","2020-06-12","612030","027018","200","1","79.44"
"010012","2020-06-13","619433","027018","200","1","53.87"
"010012","2020-06-15","115016","027018","200","24","1334.4"
"010012","2020-06-15","612030","027018","200","12","897.2"
"010012","2020-06-18","115016","027018","200","72","4003.2"
"010012","2020-06-18","612030","027018","200","12","645.98"
"010012","2020-06-18","619433","027018","200","8","332.72"
"010012","2020-06-19","612030","027018","200","2","119.46"
"010012","2020-06-20","115016","027018","200","72","4003.2000000000003"
"010012","2020-06-20","603165","027018","200","24","1199.28"
"010012","2020-06-20","612030","027018","200","6","403.74"
"010012","2020-06-22","612030","027018","200","2","128.07999999999998"
"010012","2020-06-24","612030","027018","200","3","214.49"
"010012","2020-06-25","619433","027018","200","81","4296.79"
"010012","2020-06-26","603165","027018","200","24","1199.28"
"010012","2020-06-26","619433","027018","200","12","681.31"
"010012","2020-07-01","612030","027018","200","1","72.9"
"010012","2020-07-02","612030","027018","200","12","825.23"
"010012","2020-07-03","115016","027018","200","264","14678.4"
