,"Quarter","Region","State","Trips","Purpose"
1217,"2019-01-21","139957","691001","20772","1258490.198700001"
1218,"2019-01-22","153786","691001","23741","1409653.604000003"
1219,"2019-01-23","122126","691001","27054","1702167.531099998"
1220,"2019-01-24","122140","612030","21887","1268441.3299999994"
1221,"2019-01-25","101916","619433","21767","1372575.0099999986"
1222,"2019-01-26","081195","619217","10632","877943.7200000007"
1223,"2019-01-28","153786","691001","28634","1476856.7163000002"
1224,"2019-01-29","027001","691001","28122","1580429.4947999993"
1225,"2019-01-30","153779","691001","43586","2330616.0102"
1226,"2019-01-31","013622","691001","21296","1530152.462100001"
1227,"2019-02-01","167929","691001","21656","1493261.9422000002"
1228,"2019-02-02","018511","619433","8","747.67"
1229,"2019-02-04","026998","612030","52","4369.17"
1230,"2019-02-05","042288","619433","18","1728.98"
1231,"2019-02-06","013622","612030","21117","986419.5700000015"
1232,"2019-02-07","235123","691001","27398","1717272.5516000022"
1233,"2019-02-08","150082","691001","29926","1560086.2351000006"
1234,"2019-02-09","061791","619292","27008","1588350.1900000004"
1235,"2019-02-11","122126","691001","19770","986373.6723999993"
1236,"2019-02-12","122065","691001","18985","1225576.1805999982"
1237,"2019-02-13","110642","691001","27207","1474841.9277000015"
1238,"2019-02-14","086510","691001","43881","2365237.607000001"
1239,"2019-02-15","150082","691001","34294","1710153.436899997"
1240,"2019-02-16","042240","612030","19258","1178150.86"
1241,"2019-02-18","013622","691001","22170","1109787.7124"
1242,"2019-02-20","013875","612030","35203","1849069.479999999"
1243,"2019-02-21","086510","691001","14648","1016091.4676000006"
1244,"2019-02-22","259198","691001","31797","1712119.4510000001"
1245,"2019-02-23","026998","612030","25396","1626319.0300000017"
1246,"2019-02-25","042295","691001","16400","878028.7224000014"
1247,"2019-02-26","042295","619433","21514","1204476.38"
1248,"2019-02-27","013622","691001","17798","1204125.9211000009"
1249,"2019-02-28","221911","691001","36828","2130135.616399999"
1250,"2019-03-01","150105","691001","16681","784510.894"
1251,"2019-03-02","027001","612030","24643","1254786.0399999998"
1252,"2019-03-04","150082","691001","20279","1273272.5563000008"
1253,"2019-03-05","194383","691001","24447","1673296.5117000004"
1254,"2019-03-06","122126","691001","31294","1599633.5375999995"
1255,"2019-03-07","110642","691001","34117","1793849.548199996"
1256,"2019-03-08","013622","691001","29403","1908951.6069000007"
1257,"2019-03-09","150143","619433","20234","1054867.3399999999"
1258,"2019-03-10","042233","691007","1","79.44"
1259,"2019-03-11","013875","691001","47685","2469254.8443000005"
1260,"2019-03-12","167899","691001","34561","2016180.4691999976"
1261,"2019-03-13","042288","619433","41556","2444190.1800000034"
1262,"2019-03-14","016913","691001","33520","1681717.9781000006"
1263,"2019-03-15","027001","691001","22981","1246761.4786999982"
1264,"2019-03-16","011734","216037","10041","581883.3900000004"
1265,"2019-03-18","076467","612030","40690","2034542.8599999987"
1266,"2019-03-19","042233","691001","15021","885202.7973000006"
