Datetime,QTY
3/8/2021,493
3/9/2021,903
3/10/2021,65
3/11/2021,1055
3/12/2021,496
3/13/2021,690
3/15/2021,1258
3/16/2021,1030
3/17/2021,318
3/18/2021,615
3/19/2021,2685
3/20/2021,822
3/22/2021,390
3/23/2021,841
3/24/2021,3473
3/25/2021,1622
3/26/2021,481
3/27/2021,680
3/29/2021,429
3/30/2021,1994
3/31/2021,200
4/1/2021,495
4/2/2021,584
4/3/2021,520
4/5/2021,487
4/6/2021,52
4/7/2021,692
4/8/2021,1140
4/9/2021,360
4/10/2021,70
4/15/2021,180
4/16/2021,1045
4/17/2021,32
4/19/2021,325
4/20/2021,142
4/21/2021,907
4/22/2021,813
4/23/2021,1529
4/24/2021,470
4/26/2021,1088
4/27/2021,865
4/28/2021,125
4/29/2021,4789
4/30/2021,851
5/4/2021,898
5/5/2021,966
5/6/2021,1455
5/7/2021,3393
5/8/2021,2240
5/10/2021,289
5/11/2021,131
5/12/2021,175
5/13/2021,333
5/14/2021,140
5/15/2021,506
5/17/2021,66
5/18/2021,906
5/19/2021,830
5/20/2021,409
5/21/2021,625
5/22/2021,513
5/24/2021,315
5/25/2021,270
5/27/2021,900
5/28/2021,1965
5/29/2021,2772
5/31/2021,1363
6/1/2021,733
6/2/2021,2007
6/4/2021,308
6/5/2021,422
6/6/2021,15
6/7/2021,433
6/8/2021,314
6/9/2021,76
6/10/2021,54
6/11/2021,626
6/12/2021,220
6/13/2021,1
6/14/2021,529
6/15/2021,667
6/16/2021,217
6/17/2021,9
6/18/2021,578
6/19/2021,151
6/21/2021,573
6/22/2021,483
6/23/2021,275
6/24/2021,523
6/25/2021,222
6/26/2021,421
6/27/2021,10
6/28/2021,2056
6/29/2021,4948
6/30/2021,346
7/1/2021,336
7/2/2021,301
7/3/2021,340
7/5/2021,506
7/6/2021,212
7/7/2021,17
7/8/2021,240
7/9/2021,261
7/10/2021,37
7/12/2021,95
7/13/2021,192
7/14/2021,191
7/15/2021,112
7/16/2021,92
7/17/2021,442
7/19/2021,62
7/20/2021,109
7/21/2021,75
7/22/2021,2
7/23/2021,728
7/24/2021,15
7/26/2021,212
7/27/2021,115
7/29/2021,22
7/30/2021,65
7/31/2021,627
8/1/2021,1
8/2/2021,392
8/3/2021,421
8/4/2021,85
8/5/2021,47
8/6/2021,129
8/7/2021,151
8/8/2021,3
8/9/2021,134
8/10/2021,31
8/11/2021,58
8/13/2021,66
8/14/2021,110
8/15/2021,3
8/16/2021,23
8/17/2021,343
8/18/2021,332
8/19/2021,248
8/20/2021,15
8/21/2021,304
8/22/2021,3
8/23/2021,473
8/24/2021,633
8/25/2021,1443
8/26/2021,211
8/27/2021,452
8/28/2021,737
8/29/2021,2
8/30/2021,238
8/31/2021,301
9/1/2021,192
9/2/2021,550
9/3/2021,613
9/4/2021,193
9/6/2021,94
9/7/2021,60
9/8/2021,221
9/9/2021,2150
9/10/2021,281
9/11/2021,371
9/12/2021,2
9/13/2021,2080
9/14/2021,231
9/15/2021,679
9/16/2021,357
9/17/2021,107
9/18/2021,1209
9/20/2021,219
9/21/2021,473
9/22/2021,264
9/23/2021,222
9/24/2021,2156
9/25/2021,649
9/26/2021,2
9/27/2021,104
9/28/2021,987
9/29/2021,3770
9/30/2021,894
10/1/2021,195
10/2/2021,281
10/3/2021,1
10/4/2021,314
10/5/2021,152
